"","HHSTFIPS","TRAVDAY","WHYTRP90","period","tot_period","tot","prop"
"364","10",1,"Other Fam / Business",4,727810.10464,93579758.509332,0.78
"365","10",1,"Visit Friends",5,10860334.027935,93579758.509332,11.61
"366","10",1,"School/Church",1,1388113.03243,93579758.509332,1.48
"367","10",1,"Shopping",2,401731.382182,93579758.509332,0.43
"368","10",1,"work-related",3,675928.11988,93579758.509332,0.72
"369","10",1,"Visit Friends",3,23181400.070515,93579758.509332,24.77
"370","10",1,"Visit Friends",8,8122171.2343,93579758.509332,8.68
"371","10",1,"Other Social/Rec",3,1167054.18784,93579758.509332,1.25
"372","10",1,"School/Church",3,5345645.153488,93579758.509332,5.71
"373","10",1,"Other Social/Rec",4,2728701.2502,93579758.509332,2.92
"374","10",1,"Other Fam / Business",2,359993.44373,93579758.509332,0.38
"375","10",1,"Other Social/Rec",5,367521.288493,93579758.509332,0.39
"376","10",1,"School/Church",2,684442.665008,93579758.509332,0.73
"377","10",2,"work",8,260648.744907,29385699.179925,0.89
"378","10",2,"Other Social/Rec",4,227778.63473,29385699.179925,0.78
"379","10",2,"work",5,2070244.14691,29385699.179925,7.05
"380","10",2,"Other",3,1303250.1199,29385699.179925,4.43
"381","10",2,"Shopping",1,101613.1344,29385699.179925,0.35
"382","10",2,"Other",1,1303250.1199,29385699.179925,4.43
"383","10",2,"Other Social/Rec",3,509375.483882,29385699.179925,1.73
"384","10",2,"Other Fam / Business",1,47978.40999,29385699.179925,0.16
"385","10",2,"Other Social/Rec",2,573141.18118,29385699.179925,1.95
"386","10",2,"work-related",3,111785.43061,29385699.179925,0.38
"387","10",2,"work-related",5,111785.43061,29385699.179925,0.38
"388","10",2,"Other Social/Rec",5,4545813.462259,29385699.179925,15.47
"389","10",2,"work",1,1856845.5819,29385699.179925,6.32
"390","10",2,"Visit Friends",3,598667.046748,29385699.179925,2.04
"391","10",2,"Visit Friends",4,94698.757507,29385699.179925,0.32
"392","10",2,"Other Fam / Business",5,1117390.50795,29385699.179925,3.8
"393","10",2,"Other Social/Rec",1,3612884.2782,29385699.179925,12.29
"394","10",2,"Other Fam / Business",2,229873.60637,29385699.179925,0.78
"395","10",2,"work",2,111785.43061,29385699.179925,0.38
"396","10",2,"Visit Friends",5,94698.757507,29385699.179925,0.32
"397","10",2,"Other Social/Rec",8,39915.086149,29385699.179925,0.14
"398","10",2,"Shopping",2,273191.31043,29385699.179925,0.93
"399","10",2,"Medical",2,229873.60637,29385699.179925,0.78
"400","10",2,"work",3,761020.678017,29385699.179925,2.59
"401","10",2,"Medical",3,447874.62602,29385699.179925,1.52
"402","10",2,"Medical",5,218001.01965,29385699.179925,0.74
"403","10",2,"School/Church",1,1303250.1199,29385699.179925,4.43
"404","10",2,"School/Church",4,1303250.1199,29385699.179925,4.43
"405","10",2,"Other Fam / Business",3,732599.287129,29385699.179925,2.49
"406","10",2,"Other Fam / Business",4,104178.86869,29385699.179925,0.35
"407","10",2,"Other Fam / Business",7,116070.75947,29385699.179925,0.39
"408","10",2,"Other Social/Rec",7,2663169.1236,29385699.179925,9.06
"409","10",2,"Shopping",5,1471704.43431,29385699.179925,5.01
"410","10",2,"Shopping",3,838091.87422,29385699.179925,2.85
"411","10",3,"Visit Friends",3,183264.427739,7142995.149085,2.57
"412","10",3,"Shopping",3,1315749.435275,7142995.149085,18.42
"413","10",3,"Other Social/Rec",2,57802.707545,7142995.149085,0.81
"414","10",3,"Medical",2,241800.499982,7142995.149085,3.39
"415","10",3,"Visit Friends",6,39902.315034,7142995.149085,0.56
"416","10",3,"Medical",3,401094.562695,7142995.149085,5.62
"417","10",3,"Other Social/Rec",7,103074.689513,7142995.149085,1.44
"418","10",3,"Other Social/Rec",1,173408.122635,7142995.149085,2.43
"419","10",3,"Shopping",2,43199.956373,7142995.149085,0.6
"420","10",3,"Vacation",3,216090.779232,7142995.149085,3.03
"421","10",3,"Medical",5,159294.062713,7142995.149085,2.23
"422","10",3,"Shopping",5,970520.797801,7142995.149085,13.59
"423","10",3,"Visit Friends",4,39902.315034,7142995.149085,0.56
"424","10",3,"Other Fam / Business",5,331944.50964,7142995.149085,4.65
"425","10",3,"Other Fam / Business",2,260994.76739,7142995.149085,3.65
"426","10",3,"Other Social/Rec",6,108045.389616,7142995.149085,1.51
"427","10",3,"Other Fam / Business",3,256999.085292,7142995.149085,3.6
"428","10",3,"Other Social/Rec",3,274899.477803,7142995.149085,3.85
"429","10",3,"Shopping",4,626962.085128,7142995.149085,8.78
"430","10",3,"work",1,563462.541758,7142995.149085,7.89
"431","10",3,"work",5,563462.541758,7142995.149085,7.89
"432","10",3,"Other Social/Rec",5,211120.079129,7142995.149085,2.96
"433","10",4,"Shopping",4,1170368.40508,69467287.709797,1.68
"434","10",4,"Other Fam / Business",7,817158.64208,69467287.709797,1.18
"435","10",4,"Medical",3,2439336.47966,69467287.709797,3.51
