"","HHSTFIPS","WHYTRP90","TRAVDAY","strt_hr","counts","tot","prop"
"35346","06","Other Social/Rec",3,10,11325694.602967,248445005.421759,4.56
"35347","06","Other Social/Rec",3,11,12694547.555592,248445005.421759,5.11
"35348","06","Other Social/Rec",3,12,15104152.067304,248445005.421759,6.08
"35349","06","Other Social/Rec",3,13,11069088.263551,248445005.421759,4.46
"35350","06","Other Social/Rec",3,14,10528915.468987,248445005.421759,4.24
"35351","06","Other Social/Rec",3,15,13127255.426379,248445005.421759,5.28
"35352","06","Other Social/Rec",3,16,20329946.635224,248445005.421759,8.18
"35353","06","Other Social/Rec",3,17,30480991.029417,248445005.421759,12.27
"35354","06","Other Social/Rec",3,18,23268177.119236,248445005.421759,9.37
"35355","06","Other Social/Rec",3,19,25010065.271476,248445005.421759,10.07
"35356","06","Other Social/Rec",3,20,16174247.105123,248445005.421759,6.51
"35357","06","Other Social/Rec",3,21,10588455.504141,248445005.421759,4.26
"35358","06","Other Social/Rec",3,22,3064172.05395,248445005.421759,1.23
"35359","06","Other Social/Rec",4,0,276240.810135,236365859.838933,0.12
"35360","06","Other Social/Rec",4,2,1397641.954,236365859.838933,0.59
"35361","06","Other Social/Rec",4,4,1077408.12927,236365859.838933,0.46
"35362","06","Other Social/Rec",4,5,2943434.471995,236365859.838933,1.25
"35363","06","Other Social/Rec",4,6,8029631.881821,236365859.838933,3.4
"35364","06","Other Social/Rec",4,7,5733871.055334,236365859.838933,2.43
"35365","06","Other Social/Rec",4,8,9621835.954766,236365859.838933,4.07
"35366","06","Other Social/Rec",4,9,10093280.408202,236365859.838933,4.27
"35367","06","Other Social/Rec",4,10,9450890.094288,236365859.838933,4
"35368","06","Other Social/Rec",4,11,10622927.271636,236365859.838933,4.49
"35369","06","Other Social/Rec",4,12,16759424.481268,236365859.838933,7.09
"35370","06","Other Social/Rec",4,13,15756913.433283,236365859.838933,6.67
"35371","06","Other Social/Rec",4,14,8539388.43864,236365859.838933,3.61
"35372","06","Other Social/Rec",4,15,11060365.644618,236365859.838933,4.68
"35373","06","Other Social/Rec",4,16,19894176.132514,236365859.838933,8.42
"35374","06","Other Social/Rec",4,17,29831383.34903,236365859.838933,12.62
"35375","06","Other Social/Rec",4,18,25124822.482389,236365859.838933,10.63
"35376","06","Other Social/Rec",4,19,16461770.416173,236365859.838933,6.96
"35377","06","Other Social/Rec",4,20,20411621.817817,236365859.838933,8.64
"35378","06","Other Social/Rec",4,21,9209909.296332,236365859.838933,3.9
"35379","06","Other Social/Rec",4,22,1542871.353152,236365859.838933,0.65
"35380","06","Other Social/Rec",4,23,2526050.96227,236365859.838933,1.07
"35381","06","Other Social/Rec",5,0,1506577.86897,248673837.664355,0.61
"35382","06","Other Social/Rec",5,1,894934.54941,248673837.664355,0.36
"35383","06","Other Social/Rec",5,2,1394585.8283,248673837.664355,0.56
"35384","06","Other Social/Rec",5,5,2671008.585514,248673837.664355,1.07
"35385","06","Other Social/Rec",5,6,4894638.189922,248673837.664355,1.97
"35386","06","Other Social/Rec",5,7,14291537.878558,248673837.664355,5.75
"35387","06","Other Social/Rec",5,8,9161621.267031,248673837.664355,3.68
"35388","06","Other Social/Rec",5,9,7478430.249386,248673837.664355,3.01
"35389","06","Other Social/Rec",5,10,13837633.202294,248673837.664355,5.56
"35390","06","Other Social/Rec",5,11,9402403.699523,248673837.664355,3.78
"35391","06","Other Social/Rec",5,12,17311815.666938,248673837.664355,6.96
"35392","06","Other Social/Rec",5,13,15041519.429052,248673837.664355,6.05
"35393","06","Other Social/Rec",5,14,11419211.681475,248673837.664355,4.59
"35394","06","Other Social/Rec",5,15,14234913.393144,248673837.664355,5.72
"35395","06","Other Social/Rec",5,16,17970517.381003,248673837.664355,7.23
"35396","06","Other Social/Rec",5,17,23119494.533989,248673837.664355,9.3
"35397","06","Other Social/Rec",5,18,27029250.234086,248673837.664355,10.87
"35398","06","Other Social/Rec",5,19,16632997.237205,248673837.664355,6.69
"35399","06","Other Social/Rec",5,20,18917775.41841,248673837.664355,7.61
"35400","06","Other Social/Rec",5,21,16755329.258813,248673837.664355,6.74
"35401","06","Other Social/Rec",5,22,3626346.15562,248673837.664355,1.46
"35402","06","Other Social/Rec",5,23,1081295.955712,248673837.664355,0.43
"35403","06","Other Social/Rec",6,0,3048184.36737,308099449.254007,0.99
"35404","06","Other Social/Rec",6,2,786649.08433,308099449.254007,0.26
"35405","06","Other Social/Rec",6,4,261348.68786,308099449.254007,0.08
"35406","06","Other Social/Rec",6,5,2670119.9488,308099449.254007,0.87
"35407","06","Other Social/Rec",6,6,2913577.450108,308099449.254007,0.95
"35408","06","Other Social/Rec",6,7,9693906.755576,308099449.254007,3.15
"35409","06","Other Social/Rec",6,8,9710763.673227,308099449.254007,3.15
"35410","06","Other Social/Rec",6,9,13730186.135057,308099449.254007,4.46
"35411","06","Other Social/Rec",6,10,17994388.476361,308099449.254007,5.84
"35412","06","Other Social/Rec",6,11,15568357.287532,308099449.254007,5.05
"35413","06","Other Social/Rec",6,12,12407843.65955,308099449.254007,4.03
"35414","06","Other Social/Rec",6,13,20918964.825204,308099449.254007,6.79
"35415","06","Other Social/Rec",6,14,15539435.552207,308099449.254007,5.04
"35416","06","Other Social/Rec",6,15,20280019.312179,308099449.254007,6.58
"35417","06","Other Social/Rec",6,16,27807227.566705,308099449.254007,9.03
"35418","06","Other Social/Rec",6,17,30583153.273735,308099449.254007,9.93
"35419","06","Other Social/Rec",6,18,30656905.192674,308099449.254007,9.95
"35420","06","Other Social/Rec",6,19,20339281.273248,308099449.254007,6.6
"35421","06","Other Social/Rec",6,20,18139165.547017,308099449.254007,5.89
"35422","06","Other Social/Rec",6,21,19240467.228438,308099449.254007,6.24
"35423","06","Other Social/Rec",6,22,12515311.286739,308099449.254007,4.06
"35424","06","Other Social/Rec",6,23,3294192.67009,308099449.254007,1.07
"35425","06","Other Social/Rec",7,0,4655395.66208,398715647.125594,1.17
"35426","06","Other Social/Rec",7,1,519886.954613,398715647.125594,0.13
"35427","06","Other Social/Rec",7,5,2638806.25323,398715647.125594,0.66
"35428","06","Other Social/Rec",7,6,7149747.303583,398715647.125594,1.79
"35429","06","Other Social/Rec",7,7,6310743.088053,398715647.125594,1.58
"35430","06","Other Social/Rec",7,8,13553458.232753,398715647.125594,3.4
"35431","06","Other Social/Rec",7,9,20265314.748236,398715647.125594,5.08
"35432","06","Other Social/Rec",7,10,24715337.316978,398715647.125594,6.2
"35433","06","Other Social/Rec",7,11,23039282.848481,398715647.125594,5.78
"35434","06","Other Social/Rec",7,12,34088761.837585,398715647.125594,8.55
"35435","06","Other Social/Rec",7,13,26994558.05328,398715647.125594,6.77
"35436","06","Other Social/Rec",7,14,33551437.817307,398715647.125594,8.41
"35437","06","Other Social/Rec",7,15,23678654.932134,398715647.125594,5.94
"35438","06","Other Social/Rec",7,16,27261956.401472,398715647.125594,6.84
"35439","06","Other Social/Rec",7,17,33164030.788525,398715647.125594,8.32
"35440","06","Other Social/Rec",7,18,33973431.907771,398715647.125594,8.52
"35441","06","Other Social/Rec",7,19,33443351.010807,398715647.125594,8.39
"35442","06","Other Social/Rec",7,20,19273965.575824,398715647.125594,4.83
